id,x,y,z
109,0.3500000000000001,0.8000000000000003,0.15
110,0.3500000000000001,0.8000000000000003,0.3
111,0.3500000000000001,0.8000000000000003,0.44999999999999996
112,0.5000000000000002,0.3500000000000001,0.75
113,0.5000000000000002,0.5000000000000002,0.3
114,0.5000000000000002,0.5000000000000002,0.44999999999999996
115,0.5000000000000002,0.5000000000000002,0.6
116,0.5000000000000002,0.6500000000000004,0.0
117,0.5000000000000002,0.6500000000000004,0.15
118,0.5000000000000002,0.6500000000000004,0.3
119,0.5000000000000002,0.6500000000000004,0.44999999999999996
120,0.5000000000000002,0.8000000000000003,0.0
121,0.5000000000000002,0.8000000000000003,0.15
122,0.5000000000000002,0.8000000000000003,0.3
123,0.6500000000000004,0.5000000000000002,0.3
124,0.6500000000000004,0.5000000000000002,0.44999999999999996
